Article,Text
Article 1.1,"1. The Parties hereby establish a free trade area on goods, services, establishment and associated rules in accordance with this Agreement."
Article 1.1,2. The objectives of this Agreement are:
Article 1.2,"Throughout this Agreement, references to:"
Article 1.2,"the Parties mean, on the one hand, the European Union or its Member States or the European Union and its Member States within their respective areas of competence as derived from the Treaty on European Union and the Treaty on the Functioning of the European Union (hereinafter referred to as the ""EU Party""), and on the other hand, Korea;"
Article 1.2,"the Framework Agreement mean the Framework Agreement for Trade and Cooperation between the European Community and its Member States, on the one hand, and the Republic of Korea, on the other hand, signed at Luxembourg on 28 October 1996 or any agreement updating, amending or replacing it; and"
Article 1.2,"the Customs Agreement mean the Agreement between the European Community and the Republic of Korea on Cooperation and Mutual Administrative Assistance in Customs Matters, signed at Brussels on 10 April 1997."
Article 1.2,NATIONAL TREATMENT AND MARKET ACCESS FOR GOODS
Article 2.2,This Chapter shall apply to trade in goods [1] between the Parties.
Article 2.3,"For the purposes of this Chapter, a customs duty includes any duty or charge of any kind imposed on, or in connection with, the importation of a good, including any form of surtax or surcharge imposed on, or in connection with, such importation [2]. A customs duty does not include any:"
Article 2.4,"The classification of goods in trade between the Parties shall be that set out in each Party’s respective tariff nomenclature interpreted in conformity with the Harmonised System of the International Convention on the Harmonised Commodity Description and Coding System, done at Brussels on 14 June 1983 (hereinafter referred to as the ""HS"")."
Article 2.5,"1. Except as otherwise provided in this Agreement, each Party shall eliminate its customs duties on originating goods of the other Party in accordance with its Schedule included in Annex 2-A."
Article 2.5,"2. For each good, the base rate of customs duties, to which the successive reductions are to be applied under paragraph 1, shall be that specified in the Schedules included in Annex 2-A."
Article 2.5,"3. If at any moment a Party reduces its applied most-favoured-nation (hereinafter referred to as ""MFN"") customs duty rate after the entry into force of this Agreement, that duty rate shall apply as regards trade covered by this Agreement if and for as long as it is lower than the customs duty rate calculated in accordance with its Schedule included in Annex 2-A."
Article 2.5,"4. Three years after the entry into force of this Agreement, on the request of either Party, the Parties shall consult to consider accelerating and broadening the scope of the elimination of customs duties on imports between them. A decision by the Parties in the Trade Committee, following such consultations, on the acceleration or broadening of the scope of the elimination of a customs duty on a good shall supersede any duty rate or staging category determined pursuant to their Schedules included in Annex 2-A for that good."
Article 2.6,"Except as otherwise provided in this Agreement, including as explicitly set out in each Party’s Schedule included in Annex 2-A, neither Party may increase any existing customs duty, or adopt any new customs duty, on an originating good of the other Party. This shall not preclude that either Party may raise a customs duty to the level established in its Schedule included in Annex 2-A following a unilateral reduction."
Article 2.7,Administration and implementation of tariff-rate quotas
Article 2.10,Fees and other charges on imports
Article 2.11,"Duties, taxes or other fees and charges on exports"
Article 2.11,"Neither Party may maintain or institute any duties, taxes or other fees and charges imposed on, or in connection with, the exportation of goods to the other Party, or any internal taxes, fees and charges on goods exported to the other Party that are in excess of those imposed on like goods destined for internal sale."
Article 2.14,Elimination of sectoral non-tariff measures
Article 2.14,1. The Parties shall implement their commitments on sector-specific non-tariff measures on goods in accordance with the commitments set out in Annexes 2-B through 2-E.
Article 2.14,"2. Three years after the entry into force of this Agreement and on the request of either Party, the Parties shall consult to consider broadening the scope of their commitments on sector-specific non-tariff measures on goods."
Article 2.14,Specific exceptions related to goods
Article 2.17,Special provisions on administrative cooperation
Article 2.17,1. The Parties agree that administrative cooperation is essential for the implementation and the control of preferential tariff treatment granted under this Chapter and underline their commitments to combat irregularities and fraud in customs and related matters.
Article 3.1,Application of a bilateral safeguard measure
Article 3.1,"1. If, as a result of the reduction or elimination of a customs duty under this Agreement, originating goods of a Party are being imported into the territory of the other Party in such increased quantities, in absolute terms or relative to domestic production, and under such conditions as to cause or threaten to cause serious injury to a domestic industry producing like or directly competitive goods, the importing Party may adopt measures provided for in paragraph 2 in accordance with the conditions and procedures laid down in this Section."
Article 3.1,2. The importing Party may take a bilateral safeguard measure which:
Article 3.1,(a) suspends further reduction of the rate of customs duty on the good concerned provided for under this Agreement; or
Article 3.1,(b) increases the rate of customs duty on the good to a level which does not exceed the lesser of:
Article 3.1,(i) the MFN applied rate of customs duty on the good in effect at the time the measure is taken; or
Article 3.2,"1. A Party shall notify the other Party in writing of the initiation of an investigation described in paragraph 2 and consult with the other Party as far in advance of applying a bilateral safeguard measure as practicable, with a view to reviewing the information arising from the investigation and exchanging views on the measure."
Article 3.4,1. A Party applying a bilateral safeguard measure shall consult with the other Party in order to mutually agree on appropriate trade liberalising compensation in the form of concessions having substantially equivalent trade effects or equivalent to the value of the additional duties expected to result from the safeguard measure. The Party shall provide an opportunity for such consultations no later than 30 days after the application of the bilateral safeguard measure.
Article 3.4,"2. If the consultations under paragraph 1 do not result in an agreement on trade liberalising compensation within 30 days after the consultations begin, the Party whose goods are subject to the safeguard measure may suspend the application of substantially equivalent concessions to the Party applying the safeguard measure."
Article 3.4,"3. The right of suspension referred to in paragraph 2 shall not be exercised for the first 24 months during which a bilateral safeguard measure is in effect, provided that the safeguard measure conforms to the provisions of this Agreement."
Article 3.5,For the purposes of this Section:
Article 3.6,Agricultural safeguard measures
Article 3.6,"1. A Party may apply a measure in the form of a higher import duty on an originating agricultural good listed in its Schedule included in Annex 3, consistent with paragraphs 2 through 8, if the aggregate volume of imports of that good in any year exceeds a trigger level as set out in its Schedule included in Annex 3."
Article 3.6,"2. The duty under paragraph 1 shall not exceed the lesser of the prevailing MFN applied rate, or the MFN applied rate of duty in effect on the day immediately preceding the date this Agreement enters into force, or the tariff rate set out in the Party’s Schedule included in Annex 3."
Article 3.6,3. The duties each Party applies under paragraph 1 shall be set according to its Schedules included in Annex 3.
Article 3.9,"1. After receipt by a Party’s competent authorities of a properly documented anti-dumping application with respect to imports from the other Party, and no later than 15 days before initiating an investigation, the Party shall provide written notification to the other Party of its receipt of the application."
Article 3.9,"2. After receipt by a Party’s competent authorities of a properly documented countervailing duty application with respect to imports from the other Party, and before initiating an investigation, the Party shall provide written notification to the other Party of its receipt of the application and afford the other Party a meeting to consult with its competent authorities regarding the application."
Article 3.10,Consideration of public interests
Article 3.10,The Parties shall endeavour to consider the public interests before imposing an anti-dumping or countervailing duty.
Article 3.11,Investigation after termination resulting from a review
Article 3.11,"The Parties agree to examine, with special care, any application for initiation of an anti-dumping investigation on a good originating in the other Party and on which anti-dumping measures have been terminated in the previous 12 months as a result of a review. Unless this pre-initiation examination indicates that the circumstances have changed, the investigation shall not proceed."
Article 3.12,"When imports from more than one country are simultaneously subject to anti-dumping or countervailing duty investigation, a Party shall examine, with special care, whether the cumulative assessment of the effect of the imports of the other Party is appropriate in light of the conditions of competition between the imported goods and the conditions of competition between the imported goods and the like domestic goods."
Article 3.13,De-minimis standard applicable to review
Article 3.14,"Should a Party decide to impose an anti-dumping or countervailing duty, the amount of such duty shall not exceed the margin of dumping or countervailable subsidies, and it should be less than the margin if such lesser duty would be adequate to remove the injury to the domestic industry."
Article 3.15,Neither Party may have recourse to Chapter Fourteen (Dispute Settlement) for any matter arising under this Section.
Article 3.16,Working Group on Trade Remedy Cooperation
Article 4.1,Affirmation of the TBT Agreement
Article 4.1,"The Parties affirm their existing rights and obligations with respect to each other under the Agreement on Technical Barriers to Trade, contained in Annex 1A to the WTO Agreement (hereinafter referred to as the ""TBT Agreement"") which is incorporated into and made part of this Agreement, mutatis mutandis."
Article 4.2,"1. This Chapter applies to the preparation, adoption and application of standards, technical regulations and conformity assessment procedures as defined in the TBT Agreement that may affect trade in goods between the Parties."
Article 4.2,"2. Notwithstanding paragraph 1, this Chapter does not apply to:"
Article 4.2,(a) technical specifications prepared by governmental bodies for production or consumption requirements of such bodies; or
Article 4.2,"(b) sanitary and phytosanitary measures as defined in Annex A of the Agreement on the Application of Sanitary and Phytosanitary Measures, contained in Annex 1A to the WTO Agreement (hereinafter referred to as the ""SPS Agreement"")."
Article 4.2,"3. For the purposes of this Chapter, the definitions of Annex 1 to the TBT Agreement shall apply."
Article 4.3,"1. The Parties shall strengthen their cooperation in the field of standards, technical regulations and conformity assessment procedures with a view to increasing the mutual understanding of their respective systems and facilitating access to their respective markets. To this end, they may establish regulatory dialogues at both the horizontal and sectoral levels."
Article 4.3,"2. In their bilateral cooperation, the Parties shall seek to identify, develop and promote trade facilitating initiatives which may include, but are not limited to:"
Article 4.3,"(a) reinforcing regulatory cooperation through, for example, the exchange of information, experiences and data and scientific and technical cooperation with a view to improving the quality and level of their technical regulations and making efficient use of regulatory resources;"
Article 4.3,"(b) where appropriate, simplifying technical regulations, standards and conformity assessment procedures;"
Article 4.3,"(c) where the Parties agree, and where appropriate, for example where no international standard exists, avoiding unnecessary divergence in approach to regulations and conformity assessment procedures, and working towards the possibility of converging or aligning technical requirements; and"
Article 4.3,"(d) promoting and encouraging bilateral cooperation between their respective organisations, public or private, responsible for metrology, standardisation, testing, certification and accreditation."
Article 4.3,"3. On request, a Party shall give due consideration to proposals that the other Party makes for cooperation under the terms of this Chapter."
Article 4.4,"1. The Parties agree to make best use of good regulatory practice, as provided for in the TBT Agreement. In particular, the Parties agree"
Article 4.4,(a) to fulfil the transparency obligations of the Parties as indicated in the TBT Agreement;
Article 4.4,"(b) to use relevant international standards as a basis for technical regulations including conformity assessment procedures, except when such international standards would be an ineffective or inappropriate means for the fulfilment of the legitimate objectives pursued, and where international standards have not been used as a basis, to explain on request to the other Party the reasons why such standards have been judged inappropriate or ineffective for the aim pursued;"
Article 4.4,"(c) when a Party has adopted or is proposing to adopt a technical regulation, to provide the other Party on request with available information regarding the objective, legal basis and rationale for the technical regulation;"
Article 4.4,"(d) to establish mechanisms for providing improved information on technical regulations (including through a public website) to the other Party’s economic operators, and in particular to provide written information, and as appropriate and available, written guidance on compliance with their technical regulations to the other Party or its economic operators upon request without undue delay;"
Article 4.4,"(e) to take appropriate consideration of the other Party’s views where a part of the process of developing a technical regulation is open to public consultation, and on request to provide written responses to the comments made by the other Party;"
Article 4.4,"(f) when making notifications in accordance with the TBT Agreement, to allow at least 60 days following the notification for the other Party to provide comments in writing on the proposal; and"
Article 4.4,"(g) to leave sufficient time between the publication of technical regulations and their entry into force for economic operators of the other Party to adapt, except where urgent problems of safety, health, environmental protection or national security arise or threaten to arise, and where practicable to give appropriate consideration to reasonable requests for extending the comment period."
Article 4.4,"2. Each Party shall ensure that economic operators and other interested persons of the other Party are allowed to participate in any formal public consultative process concerning development of technical regulations, on terms no less favourable than those accorded to its own legal or natural persons."
Article 4.4,"3. Each Party shall endeavour to apply technical regulations uniformly and consistently throughout its territory. If Korea notifies the EU Party of an issue of trade that appears to arise from variations in the legislation of the Member States of the European Union that Korea considers not to be compatible with the Treaty on the Functioning of the European Union, the EU Party will make its best endeavours to address the issue in a timely manner."
Article 4.6,Conformity assessment and accreditation
Article 4.6,"1. The Parties recognise that a broad range of mechanisms exist to facilitate the acceptance of the results of conformity assessment procedures conducted in the territory of the other Party, including:"
Article 4.6,(a) agreements on mutual acceptance of the results of conformity assessment procedures with respect to specific technical regulations conducted by bodies located in the territory of the other Party;
Article 4.6,(b) accreditation procedures for qualifying conformity assessment bodies located in the territory of the other Party;
Article 4.6,(c) governmental designation of conformity assessment bodies located in the territory of the other Party;
Article 4.6,(d) recognition by a Party of the results of conformity assessment procedures conducted in the territory of the other Party;
Article 4.6,(e) voluntary arrangements between conformity assessment bodies in the territory of each Party; and
Article 4.6,(f) the importing Party’s acceptance of a supplier’s declaration of conformity.
Article 4.6,"2. Having regard in particular to those considerations, the Parties undertake:"
Article 4.6,(a) to intensify their exchange of information on these and similar mechanisms with a view to facilitating the acceptance of conformity assessment results;
Article 4.6,"(b) to exchange information on conformity assessment procedures, and in particular on the criteria used to select appropriate conformity assessment procedures for specific products;"
Article 4.6,"(c) to exchange information on accreditation policy, and to consider how to make best use of international standards for accreditation, and international agreements involving the Parties’ accreditation bodies, for example, through the mechanisms of the International Laboratory Accreditation Cooperation and the International Accreditation Forum; and"
Article 4.7,The Parties undertake to exchange views on market surveillance and enforcement activities.
Article 4.10,1. The Parties agree to nominate TBT Coordinators and to give appropriate information to the other Party when their TBT Coordinator changes. The TBT Coordinators shall work jointly in order to facilitate the implementation of this Chapter and cooperation between the Parties in all matters pertaining to this Chapter.
Article 4.10,2. The Coordinator’s functions shall include:
Article 4.10,"(a) monitoring the implementation and administration of this Chapter, promptly addressing any issue that either Party raises related to the development, adoption, application or enforcement of standards, technical regulations and conformity assessment procedures, and upon either Party’s request, consulting on any matter arising under this Chapter;"
Article 4.10,"(b) enhancing cooperation in the development and improvement of standards, technical regulations and conformity assessment procedures;"
Article 5.1,"1. The objective of this Chapter is to minimise the negative effects of sanitary and phytosanitary measures on trade while protecting human, animal or plant life or health in the Parties’ territories."
Article 5.1,"2. Furthermore, this Chapter aims to enhance cooperation between the Parties on animal welfare issues, taking into consideration various factors such as livestock industry conditions of the Parties."
Article 5.2,"This Chapter applies to all sanitary and phytosanitary measures of a Party that may, directly or indirectly, affect trade between the Parties."
Article 5.3,"For the purposes of this Chapter, sanitary or phytosanitary measure means any measure defined in paragraph 1 of Annex A of the SPS Agreement."
Article 5.4,The Parties affirm their existing rights and obligations under the SPS Agreement.
Article 5.5,Transparency and exchange of information
Article 5.5,(a) pursue transparency as regards sanitary and phytosanitary measures applicable to trade;
Article 5.5,(b) enhance mutual understanding of each Party’s sanitary and phytosanitary measures and their application;
Article 5.5,"(c) exchange information on matters related to the development and application of sanitary and phytosanitary measures that affect, or may affect, trade between the Parties with a view to minimising their negative trade effects; and"
Article 5.5,"(d) communicate, upon request of a Party, the requirements that apply to the import of specific products."
Article 5.6,"(a) cooperate, at the request of a Party, to develop a common understanding on the application of international standards in areas which affect, or may affect trade between them with a view to minimising negative effects on trade between them; and"
Article 5.6,"(b) cooperate in the development of international standards, guidelines and recommendations."
Article 5.7,1. The general import requirements of a Party shall apply to the entire territory of the other Party.
Article 5.7,"2. Additional specific import requirements may be imposed on the exporting Party or parts thereof based on the determination of the animal or plant health status of the exporting Party or parts thereof made by the importing Party in accordance with the SPS Agreement, the Codex Alimentarius Commission, the World Organisation for Animal Health (hereinafter referred to as the ""OIE"") and the International Plant Protection Convention (hereinafter referred to as the ""IPPC"") guidelines and standards."
Article 5.8,Measures linked to animal and plant health
Article 5.8,"1. The Parties shall recognise the concept of pest- or disease-free areas and areas of low pest or disease prevalence, in accordance with the SPS Agreement, OIE and IPPC standards, and shall establish an appropriate procedure for the recognition of such areas, taking into account any relevant international standard, guideline or recommendation."
Article 5.8,"2. When determining such areas, the Parties shall consider factors such as geographical location, ecosystems, epidemiological surveillance and the effectiveness of sanitary or phytosanitary controls in such areas."
Article 5.9,"(a) exchange information, expertise and experiences in the field of animal welfare and adopt a working plan for such activities; and"
Article 5.9,"(b) cooperate in the development of animal welfare standards in international fora, in particular with respect to the stunning and slaughter of animals."
Article 5.10,Committee on sanitary and phytosanitary measures
Article 5.11,Neither Party may have recourse to Chapter Fourteen (Dispute Settlement) for any matter arising under this Chapter.
Article 6.1,"With the objectives of facilitating trade and promoting customs cooperation on a bilateral and multilateral basis, the Parties agree to cooperate and to adopt and apply their import, export and transit requirements and procedures for goods on the basis of the following objectives and principles:"
Article 6.1,"(a) in order to ensure that import, export and transit requirements and procedures for goods are efficient and proportionate;"
